RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
12447,Los Angeles,California,1,500700,489e3,465700,457900,438400,423500,405900,397e3,384300,371600,354400,343900,337400,33e4,324600,328500,332900,338800,340400,345400,345500,351100,356100,362300,359500,354800,354e3,352800,354e3,349900,353200,351700,357100,361100,357400,357e3,345800,349800,348400,349500,345900,342200,34e4,334e3,331200,330300,330700,331200,331500,339e3,340800,347600,353700,362600,374500,377e3,384100,397200,403200,413800,413e3,433600,446600,461700,468400,470400,472600,475300,473600,465400,45e4,449500,454300,465400,469500,467400,467400,466500,467e3,471700,470100,475200,478600,488900,494200,497900,495400,497300,498600,507800,511900,510200,509900,516800,523200,527400,523300,530300,533500,537700,535300,536500,539300,539100,543200,543200,552900,553200,558300,557600,563100,568400,576e3,576e3,578700,584700,601500,612600,612500,623700,629400,643400,641200,652400,645400,655700,,,,,,
17426,Chicago,Illinois,2,329e3,324300,296600,281e3,276e3,272700,273800,271300,264200,258e3,246700,247900,250800,251900,241200,228200,226800,229600,231400,230300,236200,234400,235900,227400,225900,225400,227700,228700,220500,211600,200300,201600,206400,206500,202500,200200,196e3,189500,181400,188800,198700,204900,203200,198200,188800,187e3,179600,180600,177500,184200,186400,193700,199200,206300,212800,206700,206400,196e3,2e5,197200,201900,204700,215800,228300,241e3,246e3,248900,251900,250600,246500,241200,254200,257700,260800,253700,256500,256e3,258e3,261700,264500,265300,260700,261400,263500,268e3,271400,267200,262600,255200,245300,238900,230700,222500,217800,215300,219e3,217400,220800,221400,223700,227700,232800,234e3,234500,240300,249300,256900,254900,252700,243700,236100,227300,223200,225800,226300,230400,233400,239500,245300,254800,275300,278200,274900,260100,264500,264900,266800,262800,268300,249800,254e3,262400
6915,San Antonio,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164100,163700,165700,165700,166900,166900,169600,171700,173500,172500,172200,172300,173600,174800,174600,178200,176700,178200,175300,176100,178400,179500,180500,177800,178400,178800,18e4,180100,180900,180900,179900,180800,180400,180200,179700,181400,182300,182700,182400,185600,186900,188900,187800,188100,189200,191100,192600,192200,192e3,191900,193800,198900,201300,200900,196700,
13271,Philadelphia,Pennsylvania,4,109200,109800,111300,109800,108100,110900,114200,117100,115300,111700,107700,101800,101500,108600,111800,113500,108900,115600,121800,125900,130600,128e3,124400,114500,115e3,117700,120900,119600,115100,106200,105e3,101800,111800,106300,108800,104500,106900,110100,110200,111500,105400,106300,106e3,108e3,104400,105e3,104100,101400,99700,102800,109300,107900,107300,108900,109800,107500,107500,112e3,115e3,111900,106600,106600,108600,112800,115e3,115400,116e3,116800,117500,119100,119200,120800,125e3,123700,122600,118300,117600,119500,118900,121700,119300,119700,118100,112600,113900,114200,118600,119900,120200,120800,123e3,127400,127900,123400,127500,128400,128300,120300,121500,122400,125e3,125400,130100,128800,131300,130800,133300,134700,136100,139500,141500,144300,144300,146e3,145900,146400,148700,149600,153100,147e3,144200,139500,144100,143400,143e3,140600,143800,147e3,152300,155300,156100,
40326,Phoenix,Arizona,5,222500,213300,203800,195900,186300,176600,167700,154600,14e4,123e3,108500,93800,81800,74500,73100,81200,88e3,95200,95800,97400,104300,105300,106e3,103600,103200,103900,102200,104100,101700,97900,95500,94100,90600,84900,84400,83900,83600,80400,79200,81500,83400,86800,89900,91800,96900,98400,93800,86700,82400,85800,93e3,96600,101100,104300,106500,111400,115300,120400,123700,122900,123500,123900,128600,133500,137100,137700,138100,138100,136600,136800,137200,139600,139200,140200,138400,139100,139400,141300,143600,143600,143300,145e3,145100,148800,150600,155200,158600,161400,162600,162400,162600,164900,167800,170500,171400,172200,173800,176e3,177600,177900,177600,179600,182400,185200,188300,188e3,190400,191500,194e3,193800,193100,194500,196800,199900,201400,204300,207800,211200,215500,218900,217700,218200,214900,216800,218100,219500,220600,219900,221900,221500,223500,222700
18959,Las Vegas,Nevada,6,244600,239300,236e3,229700,219700,208700,194500,184800,174300,166200,158e3,149100,141700,130800,124100,120300,119800,118e3,116200,117300,118900,121400,122800,123e3,122800,124e3,126e3,128200,125100,124300,120400,119200,116800,115400,115e3,113500,110500,108700,108100,108800,107400,104700,102800,103100,104300,105900,106400,106100,107300,109500,113e3,117e3,119400,122300,123700,126500,130400,133400,137e3,139e3,142500,145100,148600,154900,158700,162400,161100,163100,163400,166500,166800,168500,169900,172e3,172300,163600,162800,167100,177500,179900,178600,178900,179200,182300,183e3,185600,186100,186200,189e3,188400,190500,189100,191900,192900,197500,199800,199600,198e3,196800,199500,199300,199700,198200,201200,205400,207100,209200,208100,213600,214700,218900,224400,227600,229e3,229300,232300,235200,238300,242800,246600,252900,257e3,266100,272500,275300,274200,274800,277700,280300,279400,280300,278700
54296,San Diego,California,7,424100,413600,400900,380200,370700,355900,347600,331800,319100,305900,292900,300500,297100,297500,292500,308700,324100,332e3,339e3,344400,344200,347500,339700,346400,348600,355400,350900,345500,349200,349500,352700,351600,357700,356300,345400,340200,34e4,348300,346200,338e3,333500,328900,326300,323400,323400,327400,326400,329900,337100,347100,353900,356e3,365800,368e3,370400,369800,379500,388300,394900,402400,411e3,421400,428800,431500,433300,43e4,434800,430900,433200,432300,436e3,438600,442200,445500,447100,446100,449400,454400,458500,462e3,461e3,459700,459900,472900,485600,488400,479900,476200,479e3,480500,472e3,465500,468600,483900,496800,501800,496e3,501500,499700,502900,499700,503200,505400,511800,515700,516800,522100,536800,547100,543300,533900,538e3,543100,547600,547100,548700,560100,566400,570800,573e3,580400,589700,593e3,595700,594700,597e3,597500,589700,580900,575300,584400,597700
33839,San Jose,California,8,616100,584100,565900,545500,534100,522700,501500,476500,444400,426200,420600,415300,396100,371200,360100,367900,394600,403900,418400,419900,436100,448200,457500,465e3,466300,454600,454700,449e3,458600,456400,46e4,456500,452e3,449500,447900,438700,429100,418200,414900,423600,425900,432600,432300,426300,425300,420200,431e3,430800,432600,437800,441100,452400,467500,495200,510800,515700,518500,523500,539400,547200,556e3,564700,579600,593e3,599500,601700,605100,607700,610200,614200,619300,625300,624800,630700,634100,641600,638300,648100,653400,661400,664200,667700,674500,665700,676400,681900,700100,704400,714100,722400,730500,731900,731100,736200,734e3,743800,749100,760500,764400,761900,767300,765e3,765300,768300,775300,781100,788900,799300,808800,810300,808700,813800,827100,838900,855700,876300,906400,952500,974200,1018e3,1037e3,1062300,1057e3,1041800,1019100,1005500,999800,1010400,989400,984100,972700,971300
10221,Austin,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266800,266600,267700,273900,277800,278300,283700,284200,284e3,280500,281400,291100,295500,297400,294100,289100,290300,287500,292100,295e3,301400,302800,305300,303100,303300,303600,312200,315700,315100,312800,316200,316100,316e3,317e3,317900,325100,329500,333300,329100,325800,329200,341e3,341200,344400,336400,335e3,335e3,334600,338800,341e3,349e3,356300,360400,355700,361500,355200,
25290,Jacksonville,Florida,10,181200,175500,153300,145500,141800,140400,134900,129500,128700,126700,127e3,135100,137300,133100,114300,108700,108100,111300,109800,105800,107700,108100,108600,113200,115200,114700,103100,98600,97400,93200,86500,81500,87500,91600,93500,95100,94400,93600,84600,84300,83500,86300,82400,82500,82400,87600,83200,85800,82e3,84800,78800,76500,75e3,75700,77300,75100,76500,78600,85600,87600,86600,83600,80800,76600,73800,78100,82100,86600,84900,85400,83400,83100,82700,82200,76800,74700,77600,79200,80800,82200,84500,85300,79800,79600,77500,80100,84400,90400,95600,95300,98200,96800,93300,91100,92200,108e3,108700,114700,109900,114800,113200,111200,109300,111e3,111900,112900,116e3,136200,145300,146500,130300,124700,121800,123400,120500,119100,119400,123600,130500,142400,154100,154900,145200,138400,140100,141400,143800,140500,140400,136900,139500,156900
